year,type,name,postal_code,num_cardholders,revenue_self_generated,revenue_total_operating,revenue_total_capital,expend_materials,expend_staff,expend_total_operating,num_print_volumes,num_e_book_audio_titles,hoopla,num_e_learning_services,num_took_e_learning_courses,num_workstations_internet,total_direct_circulation,program_attendance,num_tech_programs,ill_num_borrowed,ill_num_lent,num_use_wifi,num_visits_irl,num_visits_websites,population,households
2019,Public or Union Library,Bracebridge,P1L2B5,7663,21771,975030,16002,98653,638557,975030,34360,83131,0,0,0,9,120577,5953,182,1254,970,56,1553,594,16010,9067
2019,Public or Union Library,Bradford West Gwillimbury Town,L3Z0J2,24164,100886,2462325,66420,248722,1790493,2477601,90783,34754,0,4,830,9,308413,27810,84,577,735,1162,4762,2182,38559,13583
2019,Public or Union Library,Brampton,L6W3L6,149657,475802,18625924,1275498,2092373,13911005,19862918,424196,216649,0,8,10809,546,4180445,153055,433,841,1507,14153,50137,127214,696975,180189
2019,Public or Union Library,Brant County,N3L1K7,13067,27403,2145733,165460,233055,1512713,2051025,111485,3769,1,3,2654,22,429104,30499,35,1428,1843,957,3575,11878,30781,14354
2019,Public or Union Library,Brantford,N3T2G8,17340,156045,5420179,297008,541543,3784528,5416259,175701,22788,1,4,1712,29,684816,32656,70,1131,1830,807,10130,3508,102257,41642
2019,Public or Union Library,Brighton Public Library Board,K0K1H0,2606,10110,608416,0,61770,358214,579325,27770,80199,0,0,0,10,89120,5210,11,1606,1315,378,1230,1515,11844,5099
2019,LSB Library,Britt Area,P0G1A0,213,0,1834,0,1260,0,1370,8112,90,0,0,0,6,18342,25,0,0,0,112,253,0,940,0
2019,Public or Union Library,Brock Twp,L0K1A0,2792,8125,604146,0,80181,462338,656848,43751,80929,0,1,48,28,53397,5192,151,836,940,40,745,0,11642,5349
2019,Public or Union Library,Brockville,K6V5T7,7035,48377,867293,6346,63380,699206,914224,34054,80083,1,2,0,20,131343,10799,1,1997,1377,912,2337,3040,21346,10820
2019,"County, County co-operative or Regional Municipality Library",Bruce County,N0H2C6,25312,45482,4112913,42025,380794,2999422,4107280,124753,84589,0,2,681,66,401146,26836,174,3121,2327,1978,4857,4232,61119,41290
2019,Public or Union Library,Bruce Mines & Plummer Additional Union,P0R1C0,652,2632,97911,0,4126,57038,82374,11600,80075,0,0,0,8,7804,181,4,246,213,31,127,72,1226,844
2019,Contracting Municipality,"Brudenell, Lyndoch & Raglan Twp",K0J2E0,0,0,6584,0,0,0,6584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271,1180
2019,Public or Union Library,"Burk's Falls, Armour & Ryerson Union",P0A1C0,791,4444,163546,6643,10606,115815,162931,12740,80075,0,0,0,7,42541,2941,12,584,205,21,226,26,3043,2170
2019,Public or Union Library,Burlington,L7R1J4,106661,251630,11515764,569352,1098940,8568276,11524511,265149,22840,1,4,1500,120,1811976,85795,235,1567,1532,19216,21993,17687,176802,72923
2019,Public or Union Library,Caledon,L7C0H3,14017,45898,4406953,1916876,650952,2836023,4406953,91880,157173,1,2,237,41,414583,20669,10,1317,1437,2557,7516,2137,74649,24213
2019,Public or Union Library,Callander,P0H1H0,2058,5439,216812,19913,12868,184835,229473,13015,80075,0,1,4,6,18811,2521,280,654,125,29,189,155,3863,1799
2019,Contracting Municipality,"Calvin, Municipality of",P0H1V0,0,0,1177,0,0,0,1177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,287
2019,Public or Union Library,Cambridge,N1S2K6,42317,303742,7707378,525383,678988,5698920,7812977,162983,38778,0,3,1043,60,918084,100703,89,2323,1388,1839,16387,15894,135060,49160
2019,Public or Union Library,Carleton Place,K7C2T3,6945,18488,536583,0,69885,342322,500721,38917,86402,1,1,0,6,139879,6954,29,1254,1036,159,848,1436,11936,4745
2019,Contracting Municipality,Carling Twp,P2A1E3,0,0,47171,0,0,0,47171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,2283
2019,Public or Union Library,Carlow/Mayo Public Library,K0L1C0,350,951,23370,0,3939,12429,20606,5552,80075,0,0,0,5,1187,109,0,136,0,4,30,0,864,627
2019,Contracting Municipality,Casey Twp,P0J1A0,0,0,1762,0,0,0,1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,135
2019,Public or Union Library,Casselman,K0A1M0,250,0,183019,0,21211,120075,169202,0,80075,0,0,0,5,8149,987,0,6,0,4,275,26,3171,1533
